Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,12,Algeria,DZA,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles.,8,Weight in kilograms,12515149,,,,12515149,,2906860,,,0
H2,2002,2002,2002,4,0,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles.,8,Weight in kilograms,27,,,,27,,265,,,0
H2,2002,2002,2002,4,0,2,Export,20,Andorra,AND,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles.,8,Weight in kilograms,5108,,,,5108,,2788,,,0
H2,2002,2002,2002,4,0,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles.,8,Weight in kilograms,11,,,,11,,640,,,0
H2,2002,2002,2002,4,0,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles.,8,Weight in kilograms,174,,,,174,,1025,,,0
H2,2002,2002,2002,4,0,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles.,8,Weight in kilograms,1720750,,,,1720750,,913156,,,6
H2,2002,2002,2002,4,0,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles.,8,Weight in kilograms,23711083,,,,23711083,,14763088,,,0
H2,2002,2002,2002,4,0,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles.,8,Weight in kilograms,1630954,,,,1630954,,860420,,,6
H2,2002,2002,2002,4,0,2,Export,40,Austria,AUT,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles.,8,Weight in kilograms,34210573,,,,34210573,,12251637,,,6
H2,2002,2002,2002,4,0,1,Import,48,Bahrain,BHR,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles.,8,Weight in kilograms,1406,,,,1406,,43851,,,0
H2,2002,2002,2002,4,0,2,Export,48,Bahrain,BHR,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles.,8,Weight in kilograms,1420,,,,1420,,372,,,0
H2,2002,2002,2002,4,0,1,Import,50,Bangladesh,BGD,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles.,8,Weight in kilograms,5686151,,,,5686151,,2920745,,,6
H2,2002,2002,2002,4,0,2,Export,50,Bangladesh,BGD,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles.,8,Weight in kilograms,187543,,,,187543,,533738,,,0
H2,2002,2002,2002,4,0,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles.,8,Weight in kilograms,50426868,,,,50426868,,23885624,,,0
H2,2002,2002,2002,4,0,2,Export,56,Belgium,BEL,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles.,8,Weight in kilograms,86506995,,,,86506995,,65638974,,,0
H2,2002,2002,2002,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles.,8,Weight in kilograms,697105,,,,697105,,1034678,,,0
H2,2002,2002,2002,4,0,2,Export,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles.,8,Weight in kilograms,7,,,,7,,600,,,0
H2,2002,2002,2002,4,0,1,Import,76,Brazil,BRA,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles.,8,Weight in kilograms,164892,,,,164892,,46663,,,0
H2,2002,2002,2002,4,0,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles.,8,Weight in kilograms,1368,,,,1368,,41228,,,0
H2,2002,2002,2002,4,0,1,Import,90,Solomon Isds,SLB,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles.,1,No Quantity,,,,,396203,,307121,,,0
H2,2002,2002,2002,4,0,1,Import,100,Bulgaria,BGR,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles.,8,Weight in kilograms,8011689,,,,8011689,,3311747,,,0
H2,2002,2002,2002,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles.,8,Weight in kilograms,441420,,,,441420,,525480,,,0
H2,2002,2002,2002,4,0,1,Import,112,Belarus,BLR,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles.,8,Weight in kilograms,12607916,,,,12607916,,10755400,,,0
H2,2002,2002,2002,4,0,2,Export,112,Belarus,BLR,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles.,8,Weight in kilograms,507670,,,,507670,,325300,,,0
H2,2002,2002,2002,4,0,1,Import,124,Canada,CAN,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles.,8,Weight in kilograms,129362068,,,,129362068,,42121020,,,0
H2,2002,2002,2002,4,0,2,Export,124,Canada,CAN,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles.,8,Weight in kilograms,48350987,,,,48350987,,45469800,,,6
H2,2002,2002,2002,4,0,1,Import,144,Sri Lanka,LKA,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles.,8,Weight in kilograms,231157,,,,231157,,103373,,,6
H2,2002,2002,2002,4,0,2,Export,144,Sri Lanka,LKA,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles.,8,Weight in kilograms,13842,,,,13842,,28801,,,6
H2,2002,2002,2002,4,0,1,Import,152,Chile,CHL,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles.,8,Weight in kilograms,17373107,,,,17373107,,12585566,,,6
H2,2002,2002,2002,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles.,8,Weight in kilograms,13973,,,,13973,,13140,,,6
