Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,4,0,1,Import,8,Albania,ALB,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,11737876,,,,11737876,,10455611,,,0
H4,2012,2012,2012,4,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,276629,,,,276629,,660031,,,0
H4,2012,2012,2012,4,0,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,900,,,,900,,4083,,,0
H4,2012,2012,2012,4,0,2,Export,20,Andorra,AND,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,1568,,,,1568,,13909,,,0
H4,2012,2012,2012,4,0,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,617204,,,,617204,,479207,,,0
H4,2012,2012,2012,4,0,2,Export,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,29751,,,,29751,,78711,,,0
H4,2012,2012,2012,4,0,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,663,,,,663,,5278,,,0
H4,2012,2012,2012,4,0,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,1,No Quantity,,,,,1139893,,1313534,,,4
H4,2012,2012,2012,4,0,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,1,No Quantity,,,,,70845813,,56161477,,,0
H4,2012,2012,2012,4,0,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,1629764,,,,1629764,,3065311,,,6
H4,2012,2012,2012,4,0,2,Export,40,Austria,AUT,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,38345205,,,,38345205,,23005866,,,6
H4,2012,2012,2012,4,0,1,Import,50,Bangladesh,BGD,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,19455012,,,,19455012,,5832841,,,0
H4,2012,2012,2012,4,0,2,Export,50,Bangladesh,BGD,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,178324,,,,178324,,1247191,,,0
H4,2012,2012,2012,4,0,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,71979748,,,,71979748,,54699492,,,0
H4,2012,2012,2012,4,0,2,Export,56,Belgium,BEL,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,138452193,,,,138452193,,149247121,,,6
H4,2012,2012,2012,4,0,1,Import,60,Bermuda,BMU,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,1,No Quantity,,,,,,,5212,,,0
H4,2012,2012,2012,4,0,1,Import,64,Bhutan,BTN,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,249182,,,,249182,,245978,,,6
H4,2012,2012,2012,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,6309,Textiles; worn clothing and other worn articles,8,Weight in kilograms,86162,,,,85840,,24990,,,0
