Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,1996,1996,1996,4,0,1,Import,8,Albania,ALB,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles,8,Weight in kilograms,8693861,,,,8693861,,5039074,,,0
H1,1996,1996,1996,4,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles,8,Weight in kilograms,57062,,,,57062,,92383,,,0
H1,1996,1996,1996,4,0,1,Import,12,Algeria,DZA,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles,8,Weight in kilograms,6883808,,,,6883808,,5524874,,,0
H1,1996,1996,1996,4,0,2,Export,12,Algeria,DZA,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles,8,Weight in kilograms,3562,,,,3562,,587,,,0
H1,1996,1996,1996,4,0,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles,8,Weight in kilograms,280,,,,280,,1672,,,0
H1,1996,1996,1996,4,0,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles,8,Weight in kilograms,607,,,,607,,11436,,,0
H1,1996,1996,1996,4,0,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles,1,No Quantity,0,,,,0,,1,,,0
H1,1996,1996,1996,4,0,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles,1,No Quantity,0,,,,0,,4182635,,,0
H1,1996,1996,1996,4,0,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles,8,Weight in kilograms,16305213,,,,16305213,,24542111,,,0
H1,1996,1996,1996,4,0,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles,8,Weight in kilograms,2208686,,,,2208686,,1789708,,,0
H1,1996,1996,1996,4,0,2,Export,40,Austria,AUT,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles,8,Weight in kilograms,17163168,,,,17163168,,9136070,,,0
H1,1996,1996,1996,4,0,1,Import,58,Belgium-Luxembourg,BEL,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles,8,Weight in kilograms,45613124,,,,45613124,,37520816,,,0
H1,1996,1996,1996,4,0,2,Export,58,Belgium-Luxembourg,BEL,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles,8,Weight in kilograms,87984656,,,,87984656,,110713904,,,0
H1,1996,1996,1996,4,0,1,Import,100,Bulgaria,BGR,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles,8,Weight in kilograms,4161774,,,,4161774,,1258163,,,0
H1,1996,1996,1996,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles,8,Weight in kilograms,211157,,,,211157,,128911,,,0
H1,1996,1996,1996,4,0,1,Import,124,Canada,CAN,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles,8,Weight in kilograms,20393276,,,,20393276,,8791548,,,0
H1,1996,1996,1996,4,0,2,Export,124,Canada,CAN,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles,1,No Quantity,0,,,,0,,50112801,,,0
H1,1996,1996,1996,4,0,1,Import,156,China,CHN,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles,8,Weight in kilograms,599373,,,,599373,,544383,,,0
H1,1996,1996,1996,4,0,2,Export,156,China,CHN,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles,8,Weight in kilograms,223561,,,,223561,,406875,,,0
H1,1996,1996,1996,4,0,1,Import,170,Colombia,COL,0,World,WLD,,,,,,,,6309,Worn clothing and other worn articles,8,Weight in kilograms,171,,,,171,,2104,,,0
